"filename", "language", "JSON", "JSON with Comments", "TypeScript", "TypeScript JSX", "PostCSS", "HTML", "JavaScript", "Groovy", "Java", "XML", "Batch", "Properties", "comment", "blank", "total"
"c:\strava-like\src\utils\fictitiousSessionIntegration.ts", "TypeScript", 0, 0, 195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 34, 355
"c:\strava-like\src\utils\fictitiousSessionTrainingLoad.examples.ts", "TypeScript", 0, 0, 296, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 37, 364
"c:\strava-like\src\utils\fictitiousSessionTrainingLoad.ts", "TypeScript", 0, 0, 314, 0, 0, 0, 0, 0, 0, 0, 0, 0, 117, 64, 495
"c:\strava-like\src\utils\geoUtils.ts", "TypeScript", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 16, 104
"c:\strava-like\src\utils\guess.ts", "TypeScript", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 8, 75
"c:\strava-like\src\utils\normalizeSport.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\strava-like\src\utils\performanceCoherence.ts", "TypeScript", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 11, 88
"c:\strava-like\src\utils\performanceCycling.ts", "TypeScript", 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 26, 164
"c:\strava-like\src\utils\performanceRunning.ts", "TypeScript", 0, 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 42, 263
"c:\strava-like\src\utils\trainingLoadCalculator.ts", "TypeScript", 0, 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 25, 190
"c:\strava-like\tsconfig.app.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 30
"c:\strava-like\tsconfig.json", "JSON with Comments", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\strava-like\tsconfig.node.json", "JSON", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 27
"c:\strava-like\vercel.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\strava-like\vite.config.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"Total", "-", 7375, 7, 3518, 5196, 1511, 13, 22, 101, 27, 291, 41, 9, 1547, 1561, 21219
